TARGET_ID,PROVABGS_LOGMSTAR_BF,FLUX_G_DERED,FLUX_R_DERED,FLUX_Z_DERED,FLUX_W1_DERED,FLUX_W2_DERED,Z
39633166981401360,9.644938468933105,6.2878566,9.431853,10.941416,9.457389,6.7860622,0.2057815602234389
39633166977207186,11.228078842163086,4.460701,16.939861,36.523773,53.505993,36.63449,0.3393436899216832
39633140959939407,10.80661392211914,6.926789,15.403697,25.38363,27.37429,24.754509,0.2914702298960112
39633145342985756,10.791393280029297,5.2883115,13.599741,25.952835,35.08964,26.780716,0.26670704836668446
39633145368150080,11.158249855041504,16.011799,53.317024,104.540184,111.413864,78.205795,0.2138073672140365
39633166985594841,10.608386039733887,8.218745,19.705925,36.38641,38.26584,28.663652,0.19798913661894682
39633162699018009,10.601967811584473,4.3716483,14.577091,28.685097,30.131428,20.456017,0.21731027611372755
39633154046167036,10.905085563659668,5.9163833,21.36249,43.27258,46.183933,30.720503,0.2397300188402236
39633162699016382,10.730413436889648,40.108143,81.4448,129.70796,100.081726,65.96937,0.1355265343029701
39633162699016396,11.143776893615723,18.785559,43.57895,70.62732,76.98381,64.89476,0.24703768731105857
39633162699016462,11.727364540100098,2.2250364,8.278583,19.611176,36.91794,20.917997,0.47579992850738495
39633145342985868,10.812171936035156,2.96248,7.952202,15.409787,27.12127,17.378359,0.4603200175103732
39633162699016533,9.95173168182373,5.6429048,11.701123,18.244078,13.313123,12.098939,0.17563108103023345
39633162699016659,11.805978775024414,3.2965782,8.555977,17.061672,30.638723,20.79109,0.47784517524543096
39633162682239069,10.589123725891113,3.8194022,8.439074,12.971611,16.99785,15.934903,0.268069797902392
39633127705938121,11.2853422164917,21.654888,74.77938,170.32594,208.53041,147.50618,0.19022372751094377
39633145359763490,11.046849250793457,5.2538414,16.916006,36.23454,57.087044,43.74163,0.32196706546490106
39633162690628583,10.645001411437988,6.251193,19.157835,37.009956,34.182518,27.218369,0.2185230878190461
39633136576892272,10.11573600769043,6.210997,11.665818,15.890879,13.319291,10.888451,0.2580599918647063
39633158395662058,10.432188987731934,4.263633,11.47602,23.165728,33.341583,27.612482,0.20942579168227002
39633149726034306,11.269021987915039,9.867894,21.239895,36.06505,39.044277,30.240786,0.32059348815074296
39633145368152897,9.867698669433594,7.7047105,12.753701,17.602665,11.713948,9.060085,0.16912553468164554
